Wall time,Step,Value
1782283383.4110157,1024,7.789999961853027
1782283397.0931675,4096,6.860000133514404
1782283401.5744126,5120,6.78000020980835
1782283428.2421587,11264,8.369999885559082
1782283432.7242506,12288,8.420000076293945
1782283446.0259755,15360,10.130000114440918
1782283450.5067935,16384,12.020000457763672
1782283463.8085084,19456,11.609999656677246
1782283468.2603605,20480,9.399999618530273
1782283472.7430167,21504,14.739999771118164
1782283481.556589,23552,13.899999618530273
1782283485.9293215,24576,14.819999694824219
1782283499.3730273,27648,15.239999771118164
1782283503.8252316,28672,14.6899995803833
1782283530.2604628,34816,28.040000915527344
1782283543.7406054,37888,26.209999084472656
1782283548.1287196,38912,27.670000076293945
1782283552.5394814,39936,32.91999816894531
1782283557.0082994,40960,28.770000457763672
1782283561.4544942,41984,27.56999969482422
1782283592.8236623,49152,34.79999923706055
1782283597.2750325,50176,33.90999984741211
1782283601.7588246,51200,35.709999084472656
1782283610.7246294,53248,35.79999923706055
1782283615.1891444,54272,31.030000686645508
1782283624.058395,56320,33.0099983215332
1782283637.3746033,59392,37.290000915527344
1782283650.7754064,62464,37.310001373291016
1782283655.209953,63488,36.439998626708984
1782283659.639003,64512,39.220001220703125
1782283664.0737834,65536,41.97999954223633
1782283672.9718606,67584,38.47999954223633
1782283677.3579893,68608,41.189998626708984
1782283681.7723343,69632,45.72999954223633
1782283686.207979,70656,46.38999938964844
1782283695.1248684,72704,53.61000061035156
1782283699.555087,73728,51.029998779296875
1782283725.93884,79872,61.2599983215332
1782283734.8069892,81920,58.439998626708984
1782283739.2755458,82944,62.040000915527344
1782283748.1255262,84992,61.220001220703125
1782283752.672397,86016,64.6500015258789
1782283761.6049533,88064,79.63999938964844
1782283766.0231645,89088,79.63999938964844
1782283779.3751888,92160,85.43000030517578
1782283783.8239322,93184,81.0999984741211
1782283806.0215173,98304,81.12000274658203
1782283823.8248963,102400,79.0199966430664
1782283828.2288098,103424,80.70999908447266
1782283841.5437315,106496,102.6500015258789
1782283854.8713918,109568,107.20999908447266
1782283859.3377223,110592,105.47000122070312
1782283868.3045678,112640,128.22000122070312
1782283890.5218964,117760,131.41000366210938
1782283899.4051216,119808,131.41000366210938
1782283921.6705174,124928,135.88999938964844
1782283939.4542232,129024,154.9499969482422
1782283943.9045362,130048,154.0
1782283952.856464,132096,134.42999267578125
1782283961.8368897,134144,164.16000366210938
1782283966.225164,135168,164.16000366210938
1782283970.705834,136192,164.16000366210938
1782283979.5238547,138240,161.52000427246094
1782283988.4030876,140288,164.0800018310547
1782283992.873269,141312,164.0800018310547
1782284019.486569,147456,182.08999633789062
1782284023.9533384,148480,193.89999389648438
1782284032.8209553,150528,193.89999389648438
1782284037.2862978,151552,193.89999389648438
1782284050.8032904,154624,193.89999389648438
1782284082.159381,161792,217.4199981689453
1782284091.0700543,163840,204.6199951171875
1782284095.7042606,164864,204.6199951171875
